airline_id,name,alias,iata,icao,callsign,country,active
10,40-Mile Air,,Q5,MLA,MILE-AIR,United States,Y
21,Aigle Azur,,ZI,AAF,AIGLE AZUR,France,Y
24,American Airlines,,AA,AAL,AMERICAN,United States,Y
28,Asiana Airlines,,OZ,AAR,ASIANA,Republic of Korea,Y
29,Askari Aviation,,4K,AAS,AL-AAS,Pakistan,Y
32,Afriqiyah Airways,,8U,AAW,AFRIQIYAH,Libya,Y
35,Allegiant Air,,G4,AAY,ALLEGIANT,United States,Y
42,ABSA - Aerolinhas Brasileiras,,M3,TUS,ABSA Cargo,Brazil,Y
43,Abaet,,,ABJ,Abaet,Brazil,N
55,Astral Aviation,,8V,ACP,ASTRAL CARGO,Kenya,Y
68,Air Tindi,,8T,,,Canadian Territories,Y
83,Adria Airways,,JP,ADR,ADRIA,Slovenia,Y
90,Air Europa,,UX,AEA,EUROPA,Spain,Y
96,Aegean Airlines,,A3,AEE,AEGEAN,Greece,Y
106,Air Europe,,PE,AEL,AIR EUROPE,Italy,Y
109,Alaska Central Express,,KO,AER,ACE AIR,United States,Y
116,Air Italy,,I9,AEY,AIR ITALY,Italy,Y
125,Ariana Afghan Airlines,,FG,AFG,ARIANA,Afghanistan,Y
130,Aeroflot Russian Airlines,,SU,AFL,AEROFLOT,Russia,Y
132,Air Bosna,,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
137,Air France,,AF,AFR,AIRFRANS,France,Y
139,Air Caledonie International,,SB,ACI,AIRCALIN,France,Y
146,Air Salone,,2O,,,Sierra Leone,Y
153,Air Namibia,,SW,NMB,NAMIBIA,Namibia,Y
179,Aeroper,,PL,PLI,Aeroperu,Peru,Y
197,Azerbaijan Airlines,,J2,AHY,AZAL,Azerbaijan,Y
214,Air Berlin,,AB,BER,AIR BERLIN,Germany,Y
218,Air India Limited,,AI,AIC,AIRINDIA,India,Y
220,Air Bourbon,,ZB,BUB,BOURBON,Reunion,Y
221,Air Atlanta Icelandic,,CC,ABD,ATLANTA,Iceland,Y
225,Air Tahiti Nui,,TN,THT,TAHITI AIRLINES,France,Y
231,Arkia Israel Airlines,,IZ,AIZ,ARKIA,Israel,Y
240,Air One,,AP,ADH,HERON,Italy,Y
241,Air Sahara,,S2,RSH,SAHARA,India,Y
242,Air Malta,,KM,AMC,AIR MALTA,Malta,Y
246,Amerijet International,,M6,AJT,AMERIJET,United States,N
312,Air Sicilia,,BM,,,Italy,Y
316,Air Macau,,NX,AMU,AIR MACAO,Macao,Y
319,Air Seychelles,,HM,SEY,SEYCHELLES,Seychelles,Y
321,AeroMéxico,,AM,AMX,AEROMEXICO,Mexico,Y
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
328,Air Niugini,,PX,ANG,NUIGINI,Papua New Guinea,Y
329,Air Arabia,,G9,ABY,ARABIA,United Arab Emirates,Y
330,Air Canada,,AC,ACA,AIR CANADA,Canada,Y
333,Air Baltic,,BT,BTI,AIRBALTIC,Latvia,Y
336,Air Nippon,,EL,ANK,ANK AIR,Japan,Y
338,Airnorth,,TL,ANO,TOPEND,Australia,Y
341,Air North Charter - Canada,,4N,ANT,AIR NORTH,Canada,Y
345,Air New Zealand,,NZ,ANZ,NEW ZEALAND,New Zealand,Y
386,Aero Flight,,GV,ARF,Aero Fox,Germany,Y
397,Arrow Air,,JW,APW,BIG A,United States,Y
410,Aerocondor,,2B,ARD,AEROCONDOR,Portugal,Y
412,Aerolineas Argentinas,,AR,ARG,ARGENTINA,Argentina,Y
426,Air Armenia,,QN,ARR,AIR ARMENIA,Armenia,N
439,Alaska Airlines,,AS,ASA,Inc.,ALASKA,Y
442,Air Sinai,,4D,ASD,AIR SINAI,Egypt,Y
462,Astrakhan Airlines,,OB,ASZ,AIR ASTRAKHAN,Russia,Y
470,Air Burkina,,2J,VBW,BURKINA,Burkina Faso,Y
476,Airlines Of Tasmania,,FO,ATM,AIRTAS,Australia,Y
477,Air Saint Pierre,,PJ,SPM,,France,Y
491,Austrian Airlines,,OS,AUA,AUSTRIAN,Austria,Y
502,Abu Dhabi Amiri Flight,,MO,AUH,SULTAN,United Arab Emirates,Y
503,Aeroflot-Nord,,5N,AUL,DVINA,Russia,Y
508,Aurigny Air Services,,GR,AUR,AYLINE,United Kingdom,Y
515,Avianca - Aerovias Nacionales de Colombia,,AV,AVA,S.A.,AVIANCA,Y
524,Air Vanuatu,,NF,AVN,AIR VAN,Vanuatu,Y
543,Air Bangladesh,,B9,BGD,AIR BANGLA,Bangladesh,Y
563,Aeroline GmbH,,7E,AWU,SYLT-AIR,Germany,Y
567,Air Caraïbes,,TX,FWI,FRENCH WEST,France,Y
569,Air India Express,,IX,AXB,EXPRESS INDIA,India,Y
576,AirAsia,Air Asia,AK,AXM,ASIAN EXPRESS,Malaysia,Y
595,Atlant-Soyuz Airlines,,3G,AYZ,ATLANT-SOYUZ,Russia,Y
596,Alitalia,,AZ,AZA,ALITALIA,Italy,Y
603,Amaszonas,,Z8,AZN,,Bolivia,Y
608,Air Zimbabwe,,UM,AZW,AIR ZIMBABWE,Zimbabwe,Y
622,Aserca Airlines,,R7,OCA,AROSCA,Venezuela,Y
641,Rossiya-Russian Airlines,Pulkovo Aviation Enterprise,FV,SDM,PULKOVO,Russia,Y
683,Air Botswana,,BP,BOT,BOTSWANA,Botswana,Y
690,Air Foyle,,GS,UPA,FOYLE,United Kingdom,Y
692,Air Tahiti,,VT,VTA,AIR TAHITI,French Polynesia,Y
751,Air China,,CA,CCA,AIR CHINA,China,Y
753,Aero Condor Peru,,Q6,CDP,CONDOR-PERU,Peru,Y
794,Air Algerie,,AH,DAH,AIR ALGERIE,Algeria,Y
807,Air Dolomiti,,EN,DLA,DOLOMOTI,Italy,Y
837,Aer Lingus,,EI,EIN,SHAMROCK,Ireland,Y
879,Air Pacific,,FJ,FJI,PACIFIC,Fiji,Y
881,Atlantic Airways,,RC,FLI,FAROELINE,Faroe Islands,Y
882,Air Florida,,QH,FLZ,AIR FLORIDA,United States,Y
896,Air Iceland,,NY,FXI,FAXI,Iceland,Y
897,Air Philippines,,2P,GAP,ORIENT PACIFIC,Philippines,Y
921,Air Greenland,,GL,GRL,GREENLAND,Denmark,Y
970,Air Bagan,,W9,JAB,AIR BAGAN,Myanmar,Y
995,Atlasjet,,KK,KKK,ATLASJET,Turkey,Y
998,Air Koryo,,JS,KOR,AIR KORYO,Democratic People's Republic of Korea,Y
1006,Air Astana,,KC,KZR,ASTANALINE,Kazakhstan,Y
1008,Albanian Airlines,,LV,LBC,ALBANIAN,Albania,Y
1034,Aerolane,,XL,LNE,LAN ECUADOR,Ecuador,Y
1048,Atlantis European Airways,,TD,LUR,,Armenia,Y
1057,Air Mauritius,,MK,MAU,AIRMAURITIUS,Mauritius,Y
1066,Air Madagascar,,MD,MDG,AIR MADAGASCAR,Madagascar,Y
1073,Air Moldova,,9U,MLD,AIR MOLDOVA,Moldova,Y
1109,Astair,,8D,,,Russian Federation,Y
1173,Airbus France,,4Y,RBU,AIRBUS FRANCE,France,N
1191,Air Austral,,UU,REU,REUNION,France,Y
1203,Airlinair,,A5,RLA,AIRLINAIR,France,Y
1206,Aero Lanka,,QL,RLN,AERO LANKA,Sri Lanka,Y
1230,Aero-Service,,BF,RSR,CONGOSERV,Republic of the Congo,Y
1266,Avient Aviation,,Z3,SMJ,AVAVIA,Zimbabwe,Y
1287,Aircompany Yakutia,,R3,SYL,AIR YAKUTIA,Russia,Y
1290,Aeromar,,VW,TAO,TRANS-AEROMAR,Mexico,Y
1299,Arkefly,,OR,TFL,ARKEFLY,Netherlands,Y
1308,Airlines PNG,,CG,TOK,BALUS,Papua New Guinea,Y
1316,AirTran Airways,,FL,TRS,CITRUS,United States,Y
1317,Air Transat,,TS,TSC,TRANSAT,Canada,Y
1338,Aerolineas Galapagos (Aerogal),,2K,GLG,AEROGAL,Ecuador,Y
1340,Alrosa Mirny Air Enterprise,,6R,DRU,MIRNY,Russia,Y
1355,British Airways,,BA,BAW,SPEEDBIRD,United Kingdom,Y
1359,Biman Bangladesh Airlines,,BG,BBC,BANGLADESH,Bangladesh,Y
1392,Benin Golf Air,,A8,BGL,BENIN GOLF,Benin,N
1401,Belair Airlines,,4T,BHP,BELAIR,Switzerland,Y
1403,Bahamasair,,UP,BHS,BAHAMAS,Bahamas,Y
1422,Bangkok Airways,,PG,BKP,BANGKOK AIR,Thailand,Y
1434,Bearskin Lake Air Service,,JV,BLS,BEARSKIN,Canada,Y
1441,bmibaby,,WW,BMI,BABY,United Kingdom,Y
1463,Blue Panorama Airlines,,BV,BPA,BLUE PANOROMA,Italy,Y
1469,BRA-Transportes Aereos,,7R,BRB,BRA-TRANSPAEREOS,Brazil,N
1472,Bering Air,,8E,BRG,BERING AIR,United States,Y
1478,Belavia Belarusian Airlines,,B2,BRU,BELARUS AVIA,Belarus,Y
1492,Big Sky Airlines,,GQ,BSY,BIG SKY,United States,N
1500,Metro Batavia,,7P,BTV,BATAVIA,Indonesia,Y
1508,Berjaya Air,,J8,BVT,BERJAYA,Malaysia,Y
1531,Brussels Airlines,SN Brussels Airlines,SN,DAT,BEE-LINE,Belgium,Y
1539,Binter Canarias,,NT,IBB,,Spain,Y
1548,Bulgaria Air,,FB,LZB,FLYING BULGARIA,Bulgaria,Y
1581,CAL Cargo Air Lines,,5C,ICL,CAL,Israel,Y
1611,Cameroon Airlines,,UY,UYC,CAM-AIR,Cameroon,N
1623,Canadian North,,5T,MPE,EMPRESS,Canada,Y
1629,Cape Air,,9K,KAP,CAIR,United States,Y
1654,Cargoitalia,,2G,CRG,WHITE PELICAN,Italy,N
1663,Caribbean Airlines,,BW,BWA,CARIBBEAN AIRLINES,Trinidad and Tobago,Y
1669,Carpatair,,V3,KRP,CARPATAIR,Romania,Y
1680,Cathay Pacific,,CX,CPA,CATHAY,Hong Kong SAR of China,Y
1682,Cayman Airways,,KX,CAY,CAYMAN,Cayman Islands,Y
1683,Cebu Pacific,,5J,CEB,CEBU AIR,Philippines,Y
1729,Changan Airlines,,2Z,CGN,CHANGAN,China,N
1750,Chicago Express,,C8,WDY,WINDY CITY,United States,N
1756,China Airlines,,CI,CAL,DYNASTY,Taiwan,Y
1758,China Eastern Airlines,,MU,CES,CHINA EASTERN,China,Y
1767,China Southern Airlines,,CZ,CSN,CHINA SOUTHERN,China,Y
1769,China United Airlines,,HR,CUA,LIANHANG,China,Y
1775,Chitaavia,,X7,CHF,CHITA,Russia,N
1790,City Connexion Airlines,,G3,CIX,CONNEXION,Burundi,Y
1792,CityJet,,WX,BCY,CITY-IRELAND,Ireland,Y
1829,Comair,,MN,CAW,COMMERCIAL,South Africa,Y
1844,Comores Airlines,,KR,CWK,CONTICOM,Comoros,Y
1868,Condor Flugdienst,,DE,CFG,CONDOR,Germany,Y
1886,Conviasa,,V0,VCV,CONVIASA,Venezuela,Y
1889,Copa Airlines,,CM,CMP,COPA,Panama,Y
1908,Corsairfly,,SS,CRL,CORSAIR,France,Y
1909,Corse-Mediterranee,,XK,CCM,CORSICA,France,Y
1925,Croatia Airlines,,OU,CTN,CROATIA,Croatia,Y
1936,Cubana de Aviación,,CU,CUB,CUBANA,Cuba,Y
1942,Cyprus Airways,,CY,CYP,CYPRUS,Cyprus,Y
1943,Cyprus Turkish Airlines,,YK,,,Turkey,Y
1946,Czech Airlines,CSA Czech Airlines,OK,CSA,CSA-LINES,Czech Republic,Y
1954,DAT Danish Air Transport,,DX,DTR,DANISH,Denmark,Y
1966,Daallo Airlines,,D3,DAO,DALO AIRLINES,Djibouti,Y
2009,Delta Air Lines,,DL,DAL,DELTA,United States,Y
2056,Dragonair,,KA,HDA,Hong Kong Dragon Airlines,DRAGON,Y
2058,Druk Air,,KB,DRK,ROYAL BHUTAN,Bhutan,Y
2091,EVA Air,,BR,EVA,EVA,Taiwan,Y
2094,Eagle Air,,H7,,,Uganda,Y
2104,East African,,QU,UGX,CRANE,Uganda,Y
2117,Eastern Airways,,T3,EZE,EASTFLIGHT,United Kingdom,Y
2143,Egyptair,,MS,MSR,EGYPTAIR,Egypt,Y
2150,El Al Israel Airlines,,LY,ELY,ELAL,Israel,Y
2183,Emirates,Emirates Airlines,EK,UAE,EMIRATES,United Arab Emirates,Y
2193,Empresa Ecuatoriana De Aviacion,,EU,EEA,ECUATORIANA,Ecuador,Y
2217,Estafeta Carga Aerea,,E7,ESF,,Mexico,N
2218,Estonian Air,,OV,ELL,ESTONIAN,Estonia,Y
2220,Ethiopian Airlines,,ET,ETH,ETHIOPIAN,Ethiopia,Y
2222,Etihad Airways,,EY,ETD,ETIHAD,United Arab Emirates,Y
2226,Euro Exec Express,,RZ,,,Sweden,Y
2245,Eurolot,,K2,ELO,EUROLOT,Poland,Y
2260,Eurowings,,EW,EWG,EUROWINGS,Germany,Y
2264,Excel Airways,,JN,XLA,EXPO,United Kingdom,Y
2293,Express One International,,EO,LHN,LONGHORN,United States,Y
2297,easyJet,EasyJet Airline,U2,EZY,EASY,United Kingdom,Y
2324,Far Eastern Air Transport,,EF,EFA,Far Eastern,Taiwan,Y
2350,Finnair,,AY,FIN,FINNAIR,Finland,Y
2353,Firefly,,FY,FFM,FIREFLY,Malaysia,Y
2354,First Air,,7F,FAB,,Canada,Y
2395,Flightline,,B5,FLT,FLIGHTLINE,United Kingdom,Y
2409,Fly Air,,F2,FLM,FLY WORLD,Turkey,N
2417,AirAsia X,FlyAsianXpress,D7,XAX,XANADU,Malaysia,Y
2418,FlyLal,,TE,LIL,LITHUANIA AIR,Lithuania,Y
2419,FlyNordic,,LF,NDC,NORDIC,Sweden,Y
2420,Flybaboo,,F7,BBO,BABOO,Switzerland,Y
2421,Flybe,,BE,BEE,JERSEY,United Kingdom,Y
2439,Formosa Airlines,,VY,FOS,,Taiwan,Y
2468,Frontier Airlines,,F9,FFT,FRONTIER FLIGHT,United States,Y
2520,Garuda Indonesia,,GA,GIA,INDONESIA,Indonesia,Y
2524,Gazpromavia,,4G,GZP,GAZPROMAVIA,Russia,Y
2538,Georgian Airways,,A9,TGZ,TAMAZI,Georgia,Y
2541,Georgian National Airlines,,QB,GFG,NATIONAL,Georgia,Y
2547,Germania,,ST,GMI,GERMANIA,Germany,Y
2548,Germanwings,,4U,GWI,GERMAN WINGS,Germany,Y
2575,Go Air,,G8,GOW,GOAIR,India,Y
2585,Golden Air,,DC,GAO,GOLDEN,Sweden,Y
2607,Great Lakes Airlines,,ZK,GLA,LAKES AIR,United States,Y
2622,Grupo TACA,TACA,TA,TAT,TACA-COSTARICA,Costa Rica,Y
2638,Gulf Air Bahrain,,GF,GBA,GULF BAHRAIN,Bahrain,Y
2660,Hainan Airlines,,HU,CHH,HAINAN,China,Y
2681,TUIfly,,X3,HLX,YELLOW CAB,Germany,Y
2682,Hapagfly,,HF,HLF,HAPAG LLOYD,Germany,Y
2684,Harmony Airways,,HQ,HMY,HARMONY,Canada,N
2688,Hawaiian Airlines,,HA,HAL,HAWAIIAN,United States,Y
2692,Hawkair,,BH,,,Canada,Y
2731,Helijet,,JB,JBA,HELIJET,Canada,Y
2748,Hello,,HW,FHE,FLYHELLO,Switzerland,Y
2750,Helvetic Airways,,2L,OAW,HELVETIC,Switzerland,Y
2757,Hex'Air,,UD,HER,HEX AIRLINE,France,Y
2765,Hokkaido International Airlines,,HD,ADO,AIR DO,Japan,Y
2773,Hong Kong Airlines,,HX,CRK,BAUHINIA,Hong Kong SAR of China,Y
2774,Hong Kong Express Airways,,UO,HKE,HONGKONG SHUTTLE,Hong Kong SAR of China,Y
2822,Iberia Airlines,,IB,IBE,IBERIA,Spain,Y
2825,Iberworld,,TY,IWD,,Spain,Y
2826,Ibex Airlines,,FW,IBX,IBEX,Japan,Y
2835,Icelandair,,FI,ICE,ICEAIR,Iceland,Y
2850,IndiGo Airlines,,6E,IGO,IFLY,India,Y
2857,Indonesia AirAsia,,QZ,AWQ,WAGON AIR,Indonesia,Y
2881,Interair South Africa,,D6,ILN,INLINE,South Africa,Y
2896,Interlink Airlines,,ID,ITK,INTERLINK,South Africa,Y
2916,Intersky,,3L,ISK,INTERSKY,Austria,Y
2922,Iran Air,,IR,IRA,IRANAIR,Iran,Y
2923,Iran Aseman Airlines,,EP,IRC,,Iran,Y
2942,Cargo Plus Aviation,,8L,CGP,,United Arab Emirates,Y
2951,Isles of Scilly Skybus,,,IOS,SCILLONIA,United Kingdom,N
2954,Israir,,6H,ISR,ISRAIR,Israel,Y
2987,Japan Airlines,JAL Japan Airlines,JL,JAL,JAPANAIR,Japan,Y
2989,Japan Asia Airways,,EG,JAA,ASIA,Japan,Y
2990,Japan Transocean Air,,NU,JTA,JAI OCEAN,Japan,Y
2993,Jazeera Airways,,J9,JZR,JAZEERA,Kuwait,Y
2994,Jeju Air,,7C,JJA,JEJU AIR,Republic of Korea,Y
3000,Jet Airways,,9W,JAI,JET AIRWAYS,India,Y
3021,Jetstar Asia Airways,,3K,JSA,JETSTAR ASIA,Singapore,Y
3026,Jet2.com,,LS,EXS,CHANNEX,United Kingdom,Y
3029,JetBlue Airways,,B6,JBU,JETBLUE,United States,Y
3052,Jetstar Airways,,JQ,JST,JETSTAR,Australia,Y
3081,Juneyao Airlines,,HO,DKH,JUNEYAO AIRLINES,China,Y
3090,KLM Royal Dutch Airlines,,KL,KLM,KLM,Netherlands,Y
3097,Kam Air,,RQ,KMF,KAMGAR,Afghanistan,Y
3123,Kenmore Air,,M5,KEN,KENMORE,United States,Y
3126,Kenya Airways,,KQ,KQA,KENYA,Kenya,Y
3148,Kish Air,,Y9,IRK,KISHAIR,Iran,Y
3163,Korean Air,,KE,KAL,KOREANAIR,Republic of Korea,Y
3179,Kuwait Airways,,KU,KAC,KUWAITI,Kuwait,Y
3197,LACSA,,LR,LRC,LACSA,Costa Rica,Y
3200,LAN Airlines,,LA,LAN,LAN,Chile,Y
3201,LAN Argentina,,4M,DSM,LAN AR,Argentina,Y
3210,LOT Polish Airlines,,LO,LOT,POLLOT,Poland,Y
3233,Lao Airlines,,QV,LAO,LAO,Lao Peoples Democratic Republic,Y
3251,Leeward Islands Air Transport,,LI,LIA,LIAT,Antigua and Barbuda,Y
3258,Libyan Arab Airlines,,LN,LAA,LIBAIR,Libya,Y
3287,Linhas A,,LM,LAM,MOZAMBIQUE,Mozambique,Y
3290,Lion Mentari Airlines,,JT,LNI,LION INTER,Indonesia,Y
3320,Lufthansa,,LH,DLH,LUFTHANSA,Germany,Y
3329,Luxair,,LG,LGL,LUXAIR,Luxembourg,Y
3342,L,,MJ,LPR,LAPA,Argentina,Y
3354,MIAT Mongolian Airlines,,OM,MGL,MONGOL AIR,Mongolia,Y
3370,Mahan Air,,W5,IRM,MAHAN AIR,Iran,Y
3378,Malaysia Airlines,,MH,MAS,MALAYSIAN,Malaysia,Y
3386,Malmö Aviation,,TF,SCW,Scanwings,Sweden,Y
