airport,iata,country,degree
Hartsfield Jackson Atlanta International Airport,ATL,United States,1826
Chicago O'Hare International Airport,ORD,United States,1108
Beijing Capital International Airport,PEK,China,1061
London Heathrow Airport,LHR,United Kingdom,1047
Charles de Gaulle International Airport,CDG,France,1041
Frankfurt am Main Airport,FRA,Germany,990
Los Angeles International Airport,LAX,United States,986
Dallas Fort Worth International Airport,DFW,United States,936
John F Kennedy International Airport,JFK,United States,911
Amsterdam Airport Schiphol,AMS,Netherlands,903